ASN,as_name,org_name,country,city,state,upstream,downstream,rank
1,LVLT-1,"Level 3 Parent, LLC",US,Monroe,LA,5,0,6654
2,UDEL-DCN,University of Delaware,US,Newark,DE,11,2,2927
174,COGENT-174,Cogent Communications,US,Washington,DC,21,3913,19
209,CENTURYLINK-US-LEGACY-QWEST,"CenturyLink Communications, LLC",US,Monroe,LA,2,523,21
1103,SURFNET-NL,SURF B.V.,NL,,,3,20,124
1136,KPN,KPN B.V.,NL,,,3,25,108
1221,ASN-TELSTRA,Telstra Corporation Limited,AU,,,2,228,61
1273,CW,,,,,4,156,272
1299,TWELVE99,,,,,11,1513,1169
1836,GREEN,,,,,2,16,697
2497,IIJ,,JP,,,6,178,169
2516,KDDI,,JP,,,4,248,36
2519,VECTANT,,JP,,,3,64,313
2914,NTT-LTD-2914,"NTT America, Inc.",US,Redmond,WA,17,1212,109
3257,GTT-BACKBONE,,,,,11,1655,110
3333,RIPE-NCC-AS,,,,,2,0,15692
3356,LEVEL3,"Level 3 Parent, LLC",US,Monroe,LA,27,5285,15
3549,LVLT-3549,"Level 3 Parent, LLC",US,Monroe,LA,6,553,130
4608,APNIC-SERVICES,Asia Pacific Network Information Centre,AU,,,3,192,3029
4637,ASN-TELSTRA-GLOBAL,Telstra International Limited,AU,,,9,451,552
4651,THAI-GATEWAY,CAT Telecom Public Company Limited,AU,,,5,41,11320
4713,OCN,,AU,,,3,112,18
4766,KIXS-AS-KR,,AU,,,7,501,7
4777,APNIC-COLO,Asia Pacific Network Information Centre,AU,,,3,33,47318
4826,VOCUS-BACKBONE-AS,VOCUS PTY LTD,AU,,,7,437,920
4844,SUPERINTERNET-AS-AP,SuperInternet Access Pte Ltd,AU,,,3,1,11547
6453,AS6453,TATA COMMUNICATIONS (AMERICA) INC,US,Herndon,VA,11,390,624
6762,SEABONE-NET,,,,,6,539,2286
6830,LibertyGlobal,Liberty Global B.V.,NL,,,6,162,95
6939,HURRICANE,Hurricane Electric LLC,US,Fremont,CA,22,2155,618
7018,ATT-INTERNET4,"AT&T Services, Inc.",US,MIDDLETOWN,NJ,7,1593,2
7670,CTNET,,AU,,,4,17,1825
8220,COLT,,,,,10,886,353
8758,IWAY,Iway AG,CH,,,3,17,2011
9737,TOTNET-TH-AS-AP,TOT Public Company Limited,AU,,,1,0,56896
10026,TELSTRAGLOBAL,Telstra International Limited,AU,,,,,
12586,ASGHOSTNET,GHOSTnet GmbH,DE,,,3,19,1004
18144,AS-ENECOM,,AU,,,1,0,969
22652,FIBRENOIRE-INTERNET,Fibrenoire Inc.,CA,Montreal,QC,3,66,2140
23969,TOT-NET,TOT Public Company Limited,AU,,,2,10,133
29608,WAN2MANY-AS,Absolight SARL,FR,,,2,5,7653
31025,IAG-AS,GHOSTnet GmbH,DE,,,,,
37989,DCS1-02-AS-AP,eSys Technologies Pte Ltd,AU,,,1,0,35720
38040,GLOBAL-TRANSIT-TOT-IIG-TH,TOT Public Company Limited,AU,,,10,15,12272
38803,WPL-AS-AP,Wirefreebroadband Pty Ltd,AU,,,2,0,9747
42708,PORTLANE,GleSYS AB,SE,,,2,39,1538
45896,MOBIFONEGLOBAL-AS-VN,,AU,,,6,14,8178
50300,CUSTDC,CustodianDC Limited,GB,,,3,5,9899
50304,BLIX,Blix Solutions AS,NO,,,2,21,4764
56203,Gtelecom-AUSTRALIA,Wirefreebroadband Pty Ltd,AU,,,,,
57381,FNUTT,Daniel Husand,NO,,,2,0,50888
57821,NONATTACHED-AS,Nonattached Network e.V.,DE,,,1,0,63805
